date,match,player,rating_before,P,E,rating_after
2016-01-07,"Wales - Belgium, 3 - 1",Aaron Ramsey,6.926722,8.511959946161149,6.531985157894737,7.916709394133205
2016-01-07,"Wales - Belgium, 3 - 1",Andy King,6.926722,6.329847046419163,6.531985157894737,6.825652944262213
2016-01-07,"Wales - Belgium, 3 - 1",Ashley Williams,6.926722,8.561959946161148,6.531985157894737,7.9417093941332055
2016-01-07,"Wales - Belgium, 3 - 1",Ben Davies,6.926722,7.131959946161148,6.531985157894737,7.226709394133206
2016-01-07,"Wales - Belgium, 3 - 1",Eden Hazard,6.926722,6.546959946161148,5.900406210526316,7.249998867817416
2016-01-07,"Wales - Belgium, 3 - 1",Hal Robson-Kanu,6.926722,8.084459946161147,6.531985157894737,7.616710794785071
2016-01-07,"Wales - Belgium, 3 - 1",Joe Allen,6.926722,7.3344599461611475,6.531985157894737,7.327959394133205
2016-01-07,"Wales - Belgium, 3 - 1",Kevin De Bruyne,6.926722,5.974459946161147,5.900406210526316,6.963748867817415
2016-01-07,"Wales - Belgium, 3 - 1",Marouane Fellaini,6.926722,6.192349207696433,5.900406210526316,6.998085843752695
2016-01-07,"Wales - Belgium, 3 - 1",Michy Batshuayi,6.926722,6.2498470464191636,5.900406210526316,7.101442417946424
2016-01-07,"Wales - Belgium, 3 - 1",Romelu Lukaku,6.926722,6.149459946161148,5.900406210526316,7.04156344476495
2016-01-07,"Wales - Belgium, 3 - 1",Sam Vokes,6.926722,7.094847046419163,6.531985157894737,7.208152944262213
2016-01-07,"Wales - Belgium, 3 - 1",Thibaut Courtois,6.926722,6.6869599461611475,5.900406210526316,7.319998867817416
2016-01-07,"Wales - Belgium, 3 - 1",Toby Alderweireld,6.926722,6.059459946161148,5.900406210526316,7.0062488678174155
2016-01-07,"Wales - Belgium, 3 - 1",Wayne Hennessey,6.926722,7.101959946161148,6.531985157894737,7.211709394133205
2016-02-07,"Germany - Italy, 1 - 1",Jerome Boateng,6.926722,6.966959946161148,6.531985157894737,7.144209394133205
2016-02-07,"Germany - Italy, 1 - 1",Jonas Hector,6.926722,7.621959946161148,6.531985157894737,7.471709394133205
2016-02-07,"Germany - Italy, 1 - 1",Joshua Kimmich,6.926722,7.291959946161148,6.531985157894737,7.306709394133206
2016-02-07,"Germany - Italy, 1 - 1",Mario Gomez,6.926722,6.951959946161148,6.531985157894737,7.094711915306564
2016-02-07,"Germany - Italy, 1 - 1",Mats Hummels,6.926722,7.546959946161148,6.531985157894737,7.434209394133205
2016-02-07,"Germany - Italy, 1 - 1",Mesut Ozil,6.926722,7.601959946161148,6.531985157894737,7.461709394133205
2016-02-07,"Germany - Italy, 1 - 1",Thomas Muller,6.926722,6.676959946161148,6.531985157894737,6.999209394133205
2016-03-07,"France - Iceland, 5 - 2",Alfred Finnbogason,6.926722,6.129851368973702,5.584616736842105,7.060001576743279
2016-03-07,"France - Iceland, 5 - 2",Gylfi Sigurdsson,6.926722,5.999462107438417,5.584616736842105,7.134144685298155
2016-03-07,"France - Iceland, 5 - 2",Hugo Lloris,6.926722,7.246962107438416,6.531985157894737,7.2842104747718395
2016-03-07,"France - Iceland, 5 - 2",Kingsley Coman,6.926722,6.076433719672884,6.531985157894737,6.901413586765452
2016-03-07,"France - Iceland, 5 - 2",Laurent Koscielny,6.926722,7.054462107438416,6.531985157894737,7.135712779817472
2016-03-07,"France - Iceland, 5 - 2",Moussa Sissoko,6.926722,7.546962107438416,6.531985157894737,7.43421047477184
2016-03-07,"France - Iceland, 5 - 2",Olivier Giroud,6.926722,9.466962107438416,6.531985157894737,7.9050476498478925
2016-03-07,"France - Iceland, 5 - 2",Paul Pogba,6.926722,8.174462107438417,6.531985157894737,7.7479604747718405
2016-06-07,"Portugal - Wales, 2 - 0",Andy King,6.825652944262213,6.751962107438416,5.426722,7.488272997981421
2016-06-07,"Portugal - Wales, 2 - 0",Ashley Williams,7.9417093941332055,6.994462107438417,5.426722,8.725579447852414
2016-06-07,"Portugal - Wales, 2 - 0",Cedric Soares,6.926722,7.411962107438416,5.900406210526316,7.68249994845605
2016-06-07,"Portugal - Wales, 2 - 0",Hal Robson-Kanu,7.616710794785071,6.1119621074384165,5.426722,7.856544832388517
2016-06-07,"Portugal - Wales, 2 - 0",Joao Mario,6.926722,6.229462107438416,5.900406210526316,7.09124994845605
2016-06-07,"Portugal - Wales, 2 - 0",Joe Allen,7.327959394133205,6.396962107438417,5.426722,7.813079447852413
2016-06-07,"Portugal - Wales, 2 - 0",Sam Vokes,7.208152944262213,6.5598513689737015,5.426722,7.409598165413094
2016-06-07,"Portugal - Wales, 2 - 0",Wayne Hennessey,7.211709394133205,6.684462107438416,5.426722,7.840579447852413
2016-07-07,"Germany - France, 0 - 2",Emre Can,6.926722,6.454459946161148,5.584616736842105,7.250496972357643
2016-07-07,"Germany - France, 0 - 2",Hugo Lloris,7.2842104747718395,8.426959946161148,5.900406210526316,8.547487342589255
2016-07-07,"Germany - France, 0 - 2",Jerome Boateng,7.144209394133205,7.079459946161148,5.584616736842105,7.650795148402437
2016-07-07,"Germany - France, 0 - 2",Jonas Hector,7.471709394133205,6.889459946161148,5.584616736842105,8.124130998792726
2016-07-07,"Germany - France, 0 - 2",Joshua Kimmich,7.306709394133206,7.1469599461611475,5.584616736842105,8.087880998792727
2016-07-07,"Germany - France, 0 - 2",Laurent Koscielny,7.135712779817472,7.729459946161148,5.900406210526316,8.050239647634887
2016-07-07,"Germany - France, 0 - 2",Leroy Sane,6.926722,6.274847046419163,5.584616736842105,6.96890274114082
2016-07-07,"Germany - France, 0 - 2",Mario Gotze,6.926722,6.224847046419163,5.584616736842105,7.246837154788529
2016-07-07,"Germany - France, 0 - 2",Mesut Ozil,7.461709394133205,7.464459946161147,5.584616736842105,8.401630998792726
2016-07-07,"Germany - France, 0 - 2",Moussa Sissoko,7.43421047477184,6.821959946161147,5.900406210526316,7.894987342589255
2016-07-07,"Germany - France, 0 - 2",N'Golo Kante,6.926722,7.024847046419163,5.900406210526316,7.045412977122022
2016-07-07,"Germany - France, 0 - 2",Olivier Giroud,7.9050476498478925,6.831959946161148,5.900406210526316,8.308720935289653
2016-07-07,"Germany - France, 0 - 2",Paul Pogba,7.7479604747718405,7.741959946161147,5.900406210526316,8.668737342589257
2016-07-07,"Germany - France, 0 - 2",Shkodran Mustafi,6.926722,6.384847046419163,5.584616736842105,7.055647994320748
2016-07-07,"Germany - France, 0 - 2",Thomas Muller,6.999209394133205,6.466959946161148,5.584616736842105,7.440380998792726
2016-10-06,"France - Romania, 2 - 1",Anthony Martial,6.926722,6.276433719672884,8.426722,6.771423401976374
2016-10-06,"France - Romania, 2 - 1",Hugo Lloris,8.547487342589255,7.066962107438417,8.426722,7.867607396308463
2016-10-06,"France - Romania, 2 - 1",Kingsley Coman,6.901413586765452,6.546433719672884,8.426722,6.650708482721837
2016-10-06,"France - Romania, 2 - 1",Laurent Koscielny,8.050239647634887,7.116962107438416,8.426722,7.395359701354096
2016-10-06,"France - Romania, 2 - 1",Moussa Sissoko,7.894987342589255,6.026433719672884,8.426722,7.894987342589255
2016-10-06,"France - Romania, 2 - 1",N'Golo Kante,7.045412977122022,7.734462107438416,8.426722,6.69928303084123
2016-10-06,"France - Romania, 2 - 1",Olivier Giroud,8.308720935289653,7.2769621074384165,8.426722,7.733840989008861
2016-10-06,"France - Romania, 2 - 1",Paul Pogba,8.668737342589257,6.471962107438417,8.426722,7.832534499660135
2016-11-06,"Albania - Switzerland, 0 - 1",Admir Mehmedi,6.926722,6.789462107438417,8.426722,6.362776925895455
2016-11-06,"Albania - Switzerland, 0 - 1",Breel Embolo,6.926722,6.426433719672883,8.426722,6.615566045282448
2016-11-06,"Albania - Switzerland, 0 - 1",Gelson Fernandes,6.926722,6.076433719672884,8.426722,5.751577859836441
2016-11-06,"Albania - Switzerland, 0 - 1",Granit Xhaka,6.926722,7.274462107438417,8.426722,6.350592053719208
2016-11-06,"Albania - Switzerland, 0 - 1",Xherdan Shaqiri,6.926722,7.699462107438417,8.426722,6.5711727191921145
