player,final_rating_avg,final_rating_human,final_rating_ai
Aaron Cresswell,4.912222776237387,5.2994241522659955,4.73693844978264
Aaron Hunt,5.487604010966634,3.8648840200241965,6.995183465101934
Aaron Lennon,4.335957060315621,5.468562992674945,3.0947884028640087
Aaron Mooy,9.946787806312052,11.840250329479463,7.911273013551385
Aaron Ramsey,10.452733059458417,10.381320304847403,10.382093544476177
Abdou Diallo,9.973088760107096,11.037857815641079,8.766267434979857
Abdoulaye Doucoure,8.412488550583621,7.553883196418314,9.129041635155662
Adam Smith,6.121674521415288,4.796622954941504,6.291617591023708
Adam Szalai,6.166361612051132,6.99440993794329,6.446496521432703
Admir Mehmedi,6.364817342367267,5.560278238102241,7.5156312180190685
Adrian Mariappa,5.8517443443134995,5.344587235431366,6.337976397506343
Ahmed Hegazi,8.316837240273472,7.837276409149475,9.133310755927932
Albin Ekdal,4.114643627201859,4.8863503919697635,4.272494194245452
Alex Iwobi,5.4050729330233755,5.232912039396987,6.593519077090123
Alex Oxlade-Chamberlain,8.974800695560567,7.5741096711800004,10.314592980041322
Alexander Schwolow,7.011546271032393,9.754586976418103,4.126453296053429
Alexandre Lacazette,8.48203452647169,8.102312951753689,8.758416552986835
Alexis Sanchez,11.008530991399088,7.621556147059903,13.366497467637156
Alfie Mawson,8.324207488238617,9.244388143452415,6.798518464923701
Alfred Finnbogason,7.030076122765215,5.978359967951978,7.921550097796649
Allan-Romeo Nyom,5.5089076273576945,6.328252410880263,4.864637788145837
Alvaro Morata,8.095975527882747,7.514250770695074,8.514519859458902
Amine Harit,8.492509566386385,9.23354310665938,7.824763307528881
Ander Herrera,5.999580146153357,4.875494370121473,7.000046646421942
Andre Ayew,3.69954687417042,3.0489032248072943,4.700225071888856
Andre Carrillo,4.691542719076366,6.345207033530852,4.082033564603757
Andre Gray,2.94998310225089,3.5921493770989246,2.2393595940232025
Andre Hahn,3.312280844522282,3.391230068361881,4.405457049695448
Andre Schurrle,6.03682916224229,5.646872598749934,6.5491729482671435
Andreas Beck,3.9215854069436853,3.161083768896736,4.540034775397382
Andreas Christensen,6.1266098252494166,5.663906399080199,6.240511044589902
Andrej Kramaric,8.31085706450208,8.6024869076201,8.241077696492184
Andrew Robertson,9.06377872648632,10.456392000320495,7.3481351338049565
Andrew Surman,6.787115212312414,6.814936638373328,6.627425703789888
Andriy Yarmolenko,6.243323268943639,7.096012293872901,6.285184628319747
Andros Townsend,9.057653441763986,8.185171488363356,9.788083125571358
Andy King,3.599505435732384,4.927178946998717,3.33306792117836
Angelo Ogbonna,5.978872826534228,4.594447276097151,7.221246107378054
Ante Rebic,8.806113057029613,9.443821603639389,8.026352240826583
Anthony Knockaert,9.21023928967643,10.96680565407489,7.31162065568472
Anthony Martial,6.694593996323826,5.842912523760532,7.588312337658994
Antonio Rudiger,7.381043140669493,7.221248520077856,7.398785491667873
Arjen Robben,8.43986407160904,7.617343688419236,9.070145415774514
Arthur Masuaku,9.258243928187916,8.725158358556225,9.64927722822635
Arturo Vidal,9.756963972273677,7.499577892888776,11.680604725700116
Ashley Barnes,6.463834040087193,8.098414168796594,4.72500583793182
Ashley Williams,6.126179889825211,4.615343451626779,7.241222851281726
Ashley Young,9.958779047879656,9.567138639766188,10.20836718639986
Asmir Begovic,4.623202227858866,6.908452205017936,2.4389921491342235
Ayoze Perez,6.279023848699781,6.577516853673704,5.8384785741326
Bastian Oczipka,6.461786957205422,3.97680594764637,8.780048812022754
Ben Chilwell,6.062122802115772,5.635513060644934,6.3341037655967245
Ben Davies,9.434905030347139,8.739577102900647,9.88780353706093
Ben Foster,6.616063646732859,10.272429345044788,2.817645678827664
Ben Mee,11.462276117031848,12.872310258621575,9.910189705848852
Benjamin Henrichs,4.292976754378202,4.436801574559967,4.914683241530921
Benjamin Hubner,9.708207723000527,9.533388220594205,9.740974955813602
Benjamin Pavard,9.511195511393478,9.582755280160796,9.297583473032903
Benjamin Stambouli,5.6504036414861565,4.496133407354324,7.043225740193321
Bernardo Silva,8.249397547020596,7.560322641552117,7.189809727267499
Bernd Leno,7.0260329393390775,10.87093000315227,3.0390836059326265
Bobby Wood,1.9650872293328732,0.19199289825402416,3.912009269406407
Breel Embolo,5.40739813255872,6.201317150243487,5.330338000405218
Bruma,6.418340291725586,6.097340198122067,6.687554685717922
Bruno,6.7101030782189754,7.13861274176947,6.465110652665206
Caglar Soyuncu,5.7077842440993,6.403573252521907,5.277073275962643
Caiuby,9.075239749346299,8.186916639681726,9.721284273009012
Callum Wilson,5.617571617281787,6.21587674419094,4.492468163582493
Carlos Salcedo,5.787957733568773,6.41077266650156,5.490132605627812
Cedric Soares,4.29407060730471,5.248871089145362,3.1676608592484574
Cesar Azpilicueta,10.407024615109272,9.970031152386358,10.732314536384637
Cesc Fabregas,7.694020291770166,5.848275550052775,9.397712763894303
Chadrac Akolo,5.141836846804698,6.294393786085405,4.965528244273511
Charles Aranguiz,8.827190643123089,10.002797412082138,7.509531604570776
Charlie Austin,7.133788579835609,7.302925674208857,6.816790104435905
Charlie Daniels,5.218356748624709,6.219054301662937,3.937167683969654
Cheikhou Kouyate,4.085500145614303,1.859373755449505,6.169574266185849
Chicharito,4.4860516821789505,4.766193415903483,3.973410185860172
Chris Brunt,7.06524045170123,6.366810446832037,7.6890999836375045
Chris Lowe,7.613450050096428,8.720375775187652,6.420040039960243
Chris Smalling,8.839790978396373,5.227929444085334,11.132144144606297
Chris Wood,6.065654027635164,7.2252179868187545,4.908191328551757
Christian Atsu,4.195736509197408,4.519681989696968,3.7297387591045963
Christian Benteke,5.04335318336842,2.1454873738658655,7.8228037621744555
Christian Eriksen,14.040375267293292,13.636924881026118,13.391606759143558
Christian Fuchs,5.90695365301233,4.256808844408734,7.816944313056762
Christian Gentner,8.726815602171907,8.658704926946697,8.652874007803861
Christian Gunter,6.832647116259986,7.293288666873288,6.229953296053426
Christian Kabasele,5.252096675467039,3.4982544488379523,6.863886632502866
Christian Mathenia,5.060496894774996,7.255185125111341,2.7237563948453904
Christian Pulisic,8.621186493286995,8.349501928947308,9.15137224118136
Christoph Kramer,7.454389779396039,6.854533643482685,7.912193645716139
Christopher Schindler,9.803994980432133,9.025437375607417,10.44050031566359
Ciaran Clark,4.504091303888509,4.74903492410752,4.418380522717053
Collin Quaner,5.056121947891183,5.367509982391375,4.799150962964865
Corentin Tolisso,6.637379981685975,5.153426551911034,8.457326351791036
Craig Dawson,7.586061584476104,5.9806868931723285,8.37490595693269
Cuco Martina,6.2383491294463935,4.222315751253745,8.11233023804578
Dale Stephens,6.484575076719429,7.048452205017941,6.108114997994784
Dan Gosling,4.251423423687333,3.930580102579442,4.72156980112438
Daniel Baier,8.094058543092267,9.14243640981034,6.9036284067809355
Daniel Brosinski,6.199210897972543,5.482641034187331,6.773728492164507
Daniel Caligiuri,11.300907741479236,8.197092411876277,14.262670801488937
Daniel Didavi,4.9812628467231335,3.187839453916746,6.439491948814998
