player,final_rating_human,final_rating_ai
Aaron Cresswell,5.247048283682943,5.076035926683736
Aaron Hunt,3.7829682477603748,7.140792465910837
Aaron Lennon,6.424412270290725,4.137651961636448
Aaron Mooy,11.767672706510448,8.062537157119145
Aaron Ramsey,11.133289465504115,11.357904471669666
Abdou Diallo,10.659860344030854,8.612111729906406
Abdoulaye Doucoure,7.451504403858658,9.25050460913278
Adam Smith,5.173641823200561,6.421820331082694
Adam Szalai,7.06073307176822,6.805677761663689
Admir Mehmedi,5.476078496110177,7.536135987661815
Adrian Mariappa,4.869407273281063,6.1511118861033385
Ahmed Hegazi,7.455225101969934,9.12983805739043
Albin Ekdal,5.501871324212303,5.341577051263503
Alex Iwobi,5.172656053854873,7.0675814662719185
Alex Oxlade-Chamberlain,7.895967720725598,10.744240164544749
Alexander Schwolow,9.727596040755595,4.323304126927691
Alexandre Lacazette,8.85256281416479,9.738955550355769
Alexis Sanchez,7.926937588418378,13.50887857026924
Alfie Mawson,9.433573678378139,6.8247036611230385
Alfred Finnbogason,6.642189809723243,8.784721706104698
Allan-Romeo Nyom,6.060964261595456,4.885665089608332
Alvaro Morata,8.185269638954129,9.311953593669934
Amine Harit,9.742029295179869,8.55933309265151
Ander Herrera,4.793174057093975,7.140565175954614
Andre Ayew,3.54512677142892,5.173714361655443
Andre Carrillo,7.233717129860082,5.395686597060405
Andre Gray,3.9983963155334163,2.8565535621523646
Andre Hahn,3.9881084137451173,5.43610853416448
Andre Schurrle,5.976905742894782,7.173665506007591
Andreas Beck,3.850037277678665,5.452830050716086
Andreas Christensen,6.069007138684281,6.495506182309707
Andrej Kramaric,9.553237286027075,9.379320168233315
Andrew Robertson,11.16065063466142,8.082814482051079
Andrew Surman,7.106993518328287,6.960362361977533
Andriy Yarmolenko,7.020518606232401,6.66364055035328
Andros Townsend,8.500009070072698,10.32676247381748
Andy King,5.367382025784087,3.897393468254892
Angelo Ogbonna,3.674685442601817,6.525326040419492
Ante Rebic,9.408621861647324,8.21499426537129
Anthony Knockaert,10.558105224088324,7.126761992234936
Anthony Martial,5.8422588773997015,7.879556013390498
Antonio Rudiger,7.430205984828134,7.83158472295493
Arjen Robben,8.228153406351494,9.863002782596489
Arthur Masuaku,8.284794185879605,9.432754822086505
Arturo Vidal,7.822152316703385,12.020452288600524
Ashley Barnes,8.450646487348049,5.272711501967414
Ashley Williams,4.347482202926768,7.3390454743816465
Ashley Young,9.507599028493072,10.372669341663531
Asmir Begovic,7.291058792575239,2.7746510295440894
Ayoze Perez,7.404132213160829,6.888935700156499
Bastian Oczipka,4.809877103487126,9.654412714792437
Ben Chilwell,6.162110876272408,7.060186622614777
Ben Davies,9.10642345653981,10.530070604605301
Ben Foster,10.010299090496831,2.7793571908164747
Ben Mee,12.764916846178881,10.02663805994293
Benjamin Henrichs,4.753451161773269,5.417383745607798
Benjamin Hubner,9.869413624800973,10.300842126557145
Benjamin Pavard,9.993426883197975,9.932096842606848
Benjamin Stambouli,5.26707384424083,8.13520729002183
Bernardo Silva,8.538236246653275,8.20974930943175
