player
Aaron Cresswell
Aaron Hunt
Aaron Lennon
Aaron Mooy
Aaron Ramsey
Abdou Diallo
Abdoulaye Doucoure
Adam Smith
Adam Szalai
Admir Mehmedi
Adrian Mariappa
Ahmed Hegazi
Albin Ekdal
Alex Iwobi
Alex Oxlade-Chamberlain
Alexander Schwolow
Alexandre Lacazette
Alexis Sanchez
Alfie Mawson
Alfred Finnbogason
Allan-Romeo Nyom
Alvaro Morata
Amine Harit
Ander Herrera
Andre Ayew
Andre Carrillo
Andre Gray
Andre Hahn
Andre Schurrle
Andreas Beck
Andreas Christensen
Andrej Kramaric
Andrew Robertson
Andrew Surman
Andriy Yarmolenko
Andros Townsend
Andy King
Angelo Ogbonna
Ante Rebic
Anthony Knockaert
Anthony Martial
Antonio Rudiger
Arjen Robben
Arthur Masuaku
Arturo Vidal
Ashley Barnes
Ashley Williams
Ashley Young
Asmir Begovic
Ayoze Perez
Bastian Oczipka
Ben Chilwell
Ben Davies
Ben Foster
Ben Mee
Benjamin Henrichs
Benjamin Hubner
Benjamin Pavard
Benjamin Stambouli
Bernardo Silva
Bernd Leno
Bobby Wood
Breel Embolo
Bruma
Bruno
Caglar Soyuncu
Caiuby
Callum Wilson
Carlos Salcedo
Cedric Soares
Cesar Azpilicueta
Cesc Fabregas
Chadrac Akolo
Charles Aranguiz
Charlie Austin
Charlie Daniels
Cheikhou Kouyate
Chicharito
Chris Brunt
Chris Lowe
Chris Smalling
Chris Wood
Christian Atsu
Christian Benteke
Christian Eriksen
Christian Fuchs
Christian Gentner
Christian Gunter
Christian Kabasele
Christian Mathenia
Christian Pulisic
Christoph Kramer
Christopher Schindler
Ciaran Clark
Collin Quaner
Corentin Tolisso
Craig Dawson
Cuco Martina
Dale Stephens
Dan Gosling
Daniel Baier
Daniel Brosinski
Daniel Caligiuri
Daniel Didavi
Daniel Ginczek
Danilo
Danny Latza
Danny Simpson
Danny Welbeck
Darren Fletcher
Daryl Janmaat
David Abraham
David Alaba
David Silva
David de Gea
Davide Zappacosta
Davie Selke
Davinson Sanchez
Davy Propper
Dayot Upamecano
DeAndre Yedlin
Declan Rice
Dejan Lovren
Dele Alli
Demarai Gray
Denis Zakaria
Dennis Aogo
Dennis Diekmeier
Dennis Geiger
Diego Demme
