player
Leon Goretzka
Leonardo Bittencourt
Leroy Fer
Leroy Sane
Levin Oztunali
Lewis Cook
Lewis Dunk
Lucas Alario
Ludwig Augustinsson
Luis Antonio Valencia
Luka Jovic
Luka Milivojevic
Lukas Hradecky
Lukas Klostermann
Lukas Rupp
Lukasz Fabianski
Lukasz Piszczek
Lys Mousset
Mahmoud Dahoud
Makoto Hasebe
Mame Biram Diouf
Manolo Gabbiadini
Manuel Lanzini
Marc Albrighton
Marcel Heller
Marcel Sabitzer
Marcin Kaminski
Marco Hoger
Marco Terrazzino
Marcos Alonso
Marcus Rashford
Mario Gomez
Mario Gotze
Mario Lemina
Marius Wolf
Mark Noble
Mark Uth
Marko Arnautovic
Marouane Fellaini
Martin Harnik
Martin Hinteregger
Martin Olsson
Marvin Bakalorz
Marvin Plattenhardt
Marwin Hitz
Mat Ryan
Mathew Leckie
Matija Nastasic
Mats Hummels
Matt Phillips
Matt Ritchie
Matthew Lowton
Matthias Ginter
Matthias Lehmann
Matthias Ostrzolek
Max Kruse
Max Meyer
Maximilian Arnold
Maximilian Eggestein
Maya Yoshida
Mesut Ozil
Michael Cuisance
Michael Gregoritsch
Michael Keane
Michail Antonio
Michy Batshuayi
Mijat Gacinovic
Mike van der Hoorn
Mikel Merino
Milos Jojic
Milos Veljkovic
Mitchell Weiser
Mohamed Diame
Mohamed Salah
Morgan Schneiderlin
Mousa Dembele
Moussa Sissoko
N'Golo Kante
Naby Keita
Nacho Monreal
Nadiem Amiri
Naldo
Nathan Ake
Nathan Dyer
Nathan Redmond
Nemanja Matic
Nick Pope
Niclas Fullkrug
Nico Elvedi
Nico Schulz
Nicolas Hofler
Nicolas Otamendi
Niklas Moisander
Niklas Stark
Niklas Sule
Nils Petersen
Oliver Baumann
Oliver Sorg
Olivier Giroud
Omer Toprak
Oriol Romeu
Oscar Wendt
Oumar Niasse
Pablo De Blasis
Pablo Zabaleta
Panagiotis Retsos
Pascal GroB
Pascal Stenzel
Patrick Herrmann
Patrick van Aanholt
Paul Dummett
Paul Pogba
Paul Verhaegh
Pavel Kaderabek
Pedro
Pedro Obiang
Per Skjelbred
Peter Crouch
Peter Gulacsi
Peter Pekarik
Petr Cech
Phil Jagielka
Phil Jones
Philipp Bargfrede
Philipp Max
Philipp Tschauner
Pierre-Emerick Aubameyang
Pierre-Emile Hrjbjerg
Pirmin Schwegler
Raffael
Rafinha
Raheem Sterling
Rajiv van La Parra
Ralf Fahrmann
Ramadan Sobhi
Rani Khedira
Richarlison
Riyad Mahrez
Robert Lewandowski
Roberto Firmino
Roberto Pereyra
Robin Knoche
Robin Koch
Robin Quaison
Roman Burki
Romelu Lukaku
Ron-Robert Zieler
Ruben Loftus-Cheek
Rune Jarstein
Ryan Bertrand
Ryan Fraser
Ryan Shawcross
Sadio Mane
Salif Sane
Salih Ozcan
Salomon Kalou
Salomon Rondon
Sam Clucas
Sam Vokes
Sandro Wagner
Santiago Ascacibar
Scott Malone
Sead Kolasinac
Sebastian Prodl
Sebastian Rudy
Sebastien Haller
Serge Gnabry
Sergio Aguero
Sergio Cordova
Shane Duffy
Shane Long
Shinji Kagawa
Shinji Okazaki
Shkodran Mustafi
Simon Falette
Simon Francis
Simon Terodde
Sofiane Boufal
Sokratis
Solly March
Son Heung-Min
Stefan Bell
Stefan Ilsanker
Stephen Ward
Steve Cook
Steve Mounie
Steven Davis
Steven Defour
Steven Zuber
Suat Serdar
Sven Bender
Sven Ulreich
Tammy Abraham
Theodor Gebre Selassie
Thiago
Thibaut Courtois
Thilo Kehrer
Thomas Delaney
Thomas Muller
Thorgan Hazard
Tiemoue Bakayoko
Timo Baumgartl
Timo Horn
Timo Werner
Timothy Chandler
Timothy Fosu-Mensah
Toby Alderweireld
Tom Carroll
Tom Cleverley
Tom Davies
Tom Ince
Tommy Smith
Troy Deeney
Valentino Lazaro
Vedad Ibisevic
Victor Lindelof
Victor Moses
Vincent Kompany
Virgil van Dijk
Vladimir Darida
Waldemar Anton
Wayne Hennessey
Wayne Rooney
Wendell
Wes Morgan
Wesley Hoedt
Weston McKennie
Wilfred Ndidi
Wilfried Zaha
Willi Orban
William
Willian
Xherdan Shaqiri
Yann Sommer
Yevhen Konoplyanka
Yohan Cabaye
Yoshinori Muto
Yunus Malli
Yussuf Poulsen
Yuya Osako
Zanka
Zlatko Junuzovic
