player,final_rating
Aaron Cresswell,4.422815243087405
Aaron Hunt,5.3632507678591
Aaron Lennon,3.168701313073858
Aaron Mooy,11.730051000336932
Aaron Ramsey,11.948005371999653
Abdou Diallo,11.95461553553875
Abdoulaye Doucoure,9.556440534759961
Adam Smith,6.278498187326509
Adam Szalai,6.20214596976221
Admir Mehmedi,6.6930070971045845
Adrian Mariappa,6.087006455627213
Ahmed Hegazi,9.496287033815648
Albin Ekdal,2.836486634189532
Alex Iwobi,5.044255316691447
Alex Oxlade-Chamberlain,10.171059388486436
Alexander Schwolow,7.50893859036201
Alexandre Lacazette,9.129827016605082
Alexis Sanchez,13.25226557552392
Alfie Mawson,9.4886580647433
Alfred Finnbogason,7.127458310735149
Allan-Romeo Nyom,5.469959015364537
Alvaro Morata,8.69041942463592
Amine Harit,9.295384754593192
Ander Herrera,6.097761861764356
Andre Ayew,2.6081403955230655
Andre Carrillo,3.510891351904993
Andre Gray,1.449352550926245
Andre Hahn,1.713783499269132
Andre Schurrle,5.8546641123764385
Andreas Beck,2.6563754511876616
Andreas Christensen,6.209145112603332
Andrej Kramaric,8.78873463764511
Andrew Robertson,10.111416475272598
Andrew Surman,7.105004938733434
Andriy Yarmolenko,6.300290368300966
Andros Townsend,10.222666068526399
Andy King,2.4096100198095805
Angelo Ogbonna,6.580285239752061
Ante Rebic,10.077631227294487
Anthony Knockaert,10.883628307398826
Anthony Martial,6.998358088824921
Antonio Rudiger,7.892333056937776
Arjen Robben,9.184490630401477
Arthur Masuaku,10.971592327327512
Arturo Vidal,11.343414858241704
Ashley Barnes,6.511683464627227
Ashley Williams,6.304758989315629
Ashley Young,11.739198889293155
Asmir Begovic,4.012034008561701
Ayoze Perez,5.939861887958495
Bastian Oczipka,6.308764220469129
Ben Chilwell,5.828599741209413
Ben Davies,10.698175856727902
Ben Foster,7.087926261088452
Ben Mee,13.91635009083889
Benjamin Henrichs,3.4380129503238037
Benjamin Hubner,11.13905719121285
Benjamin Pavard,10.811909420245378
Benjamin Stambouli,5.016409903895392
Bernardo Silva,8.773365667514541
Bernd Leno,7.273751477858948
Bobby Wood,0.15637805460078685
Breel Embolo,4.985337608228745
Bruma,6.324246575105781
Bruno,7.166741990279149
Caglar Soyuncu,5.898872389421174
Caiuby,10.231876052379077
Callum Wilson,5.250193286684672
Carlos Salcedo,5.536470961286011
Cedric Soares,3.273775803760024
Cesar Azpilicueta,12.157005839972062
Cesc Fabregas,8.059443272795885
Chadrac Akolo,4.6782192448266455
Charles Aranguiz,9.810559402032178
Charlie Austin,7.752533308378099
Charlie Daniels,4.647693349004131
Cheikhou Kouyate,3.141607475029369
Chicharito,3.212332727765828
Chris Brunt,7.474519691745024
Chris Lowe,8.776623629302081
Chris Smalling,9.980469065720548
Chris Wood,5.614170664883729
Christian Atsu,3.0612809768899436
Christian Benteke,4.516372466307179
Christian Eriksen,17.281103262891573
Christian Fuchs,6.069911984344841
Christian Gentner,10.06873511383862
Christian Gunter,7.253368369258556
Christian Kabasele,4.673787981335274
Christian Mathenia,4.862901666296816
Christian Pulisic,9.702836386860177
Christoph Kramer,7.9681408011896195
Christopher Schindler,11.516938442062358
Ciaran Clark,3.319507124694273
Collin Quaner,4.467771453219395
Corentin Tolisso,6.819812636688595
Craig Dawson,8.2517954954585
Cuco Martina,6.462720058448642
Dale Stephens,6.7027170257309265
Dan Gosling,3.56372844871765
Daniel Baier,8.986659203108598
Daniel Brosinski,6.40453791736334
Daniel Caligiuri,13.292382147582984
Daniel Didavi,4.642357227903399
Daniel Ginczek,4.001057366016527
Danilo,7.533108008580154
Danny Latza,6.438241188713764
Danny Simpson,4.041842162982052
Danny Welbeck,7.203228837703785
Darren Fletcher,3.9101190010436375
Daryl Janmaat,6.479068472661502
David Abraham,8.160018715411084
David Alaba,8.385298499583593
David Silva,17.517424373199844
David de Gea,4.493255546950067
Davide Zappacosta,4.0722733555088695
Davie Selke,7.569823704504782
Davinson Sanchez,6.4086005828244
Davy Propper,4.940252514589615
Dayot Upamecano,7.724086851687085
DeAndre Yedlin,5.767853619597149
Declan Rice,7.0549870153995515
Dejan Lovren,7.672411290488598
Dele Alli,8.499014274695323
Demarai Gray,4.287607969131603
Denis Zakaria,7.247329106815462
Dennis Aogo,3.6778428867971305
