player,final_rating_tuned,final_rating_human,final_rating_ai
Kevin De Bruyne,23.210702951372014,23.25999210780117,20.512307256382314
Mohamed Salah,17.081519832597024,16.965888125249084,15.355263046381173
Eden Hazard,16.16283627223795,15.272883298109262,20.42217689333919
Leroy Sane,15.611191180300683,16.029852273770544,14.846658246218723
Harry Kane,15.226982089605826,12.258929497550357,17.263934489257366
Christian Eriksen,15.191591722479888,13.637285922123304,13.391606759143558
David Silva,14.562230692302528,16.10215917637314,12.4102176564607
Paul Pogba,14.512436728506277,10.92368802393055,12.860639985017691
Sergio Aguero,14.030020304725866,14.435519933015964,15.201336184123356
Naldo,13.950672491534666,12.681590884441059,12.559394472524016
Raheem Sterling,13.248950432174153,15.497754210330832,12.394201360159151
Ron-Robert Zieler,12.945513665845104,12.825399176908572,6.553705339115406
Wilfried Zaha,12.916473077500898,14.162392104082349,10.007045881068908
Harry Maguire,12.669585794717253,12.371672866400992,10.282265691926735
Roberto Firmino,12.536599267782377,11.271708238022894,13.23596211757233
Jan Vertonghen,12.328986595915085,9.191523836125118,10.778446399149846
Daniel Caligiuri,12.200770939792662,8.197453452973463,14.262670801488937
Ben Mee,12.109606439561373,12.87267129971876,9.910189705848852
Salif Sane,12.015286443028861,11.812487207860848,12.026331883417681
Riyad Mahrez,11.97835744523786,13.479738926676967,11.902297471188714
Jamie Vardy,11.925735560646453,11.778954173330458,8.127593385683168
James Rodriguez,11.883806302639885,11.164893783307297,12.532019258845105
Shane Duffy,11.66465787716919,11.218016467420002,11.633447462829581
Lukasz Fabianski,11.511608178074319,9.715300881823426,8.482638401083017
Benjamin Pavard,11.499430674186844,9.583116321257982,9.297583473032903
Koen Casteels,11.42830372534658,13.912382340837144,7.970793574409523
Kyle Walker,11.416350820696646,11.86576097558451,8.36028919231335
Mesut Ozil,11.364684252636247,10.72197951292655,11.574417185429226
Leon Bailey,11.247166248460282,10.406060911744175,11.497644684991288
Christopher Schindler,11.162492024709431,9.025798416704605,10.44050031566359
James Tarkowski,11.102390111624139,10.953344080258514,10.005224751725134
Ashley Young,11.060460431042301,9.567499680863374,10.20836718639986
N'Golo Kante,11.02423892141628,9.280022492171,10.154786713394465
Nemanja Matic,11.022643251265984,8.593207690561021,10.470738108675878
Jiri Pavlenka,10.971458552914308,14.866456606751978,7.076129766641663
Aaron Mooy,10.81624275262497,11.84061137057665,7.911273013551385
Jonathan Tah,10.760480486055611,12.151513299758351,7.293913495898401
Robert Lewandowski,10.684301742665802,8.568718675220168,10.86714435703091
Cesar Azpilicueta,10.64877351537885,9.970392193483546,10.732314536384637
Joshua Kimmich,10.636881731081306,11.325754046681038,11.7374286866231
Ahmed Hegazi,10.601545261110154,7.837637450246662,9.133310755927932
Lewis Dunk,10.40384150489274,10.851357903523828,9.32275530702896
Abdou Diallo,10.379784176086181,11.038218856738267,8.766267434979857
Sadio Mane,10.373088777742856,8.62996997423403,9.58374495301003
Lars Bender,10.367395599159376,11.563823045377584,9.937991431754325
Alexis Sanchez,10.367315985848853,7.62191718815709,13.366497467637156
Mat Ryan,10.344660846233413,10.685264785243357,5.069319373987707
Aaron Ramsey,10.20492545303144,10.381681345944589,10.382093544476177
Mats Hummels,10.193850395534753,11.457960210031155,9.567811626292226
Mark Uth,10.184666482297118,9.171346336991451,9.461908987680436
Naby Keita,10.130199448310394,9.675108789066657,11.534950480110037
Fernandinho,10.118321744841923,11.358355315490497,12.346386353964071
Marcel Sabitzer,10.096761699757458,9.209602978971686,9.391145991651243
Thibaut Courtois,10.092553658362908,10.11978404263667,4.52735374289163
Emre Can,10.009969955901246,8.512478582199794,11.468697390562674
Marko Arnautovic,9.974989994256465,10.728562841826824,9.665255355824282
Nicolas Otamendi,9.83350236155459,8.462857327315486,9.783532013817855
Chris Smalling,9.821715351497513,5.228290485182521,11.132144144606297
Sven Ulreich,9.813345153445658,13.047024407677734,3.9877813160376467
Jerome Boateng,9.7986454320507,10.919837711324513,7.80842377665766
Arturo Vidal,9.761990898474357,7.499938933985963,11.680604725700116
Marwin Hitz,9.75572871184216,11.883663482748334,6.523743327576526
Ben Davies,9.588312169563762,8.739938143997835,9.88780353706093
Andros Townsend,9.578053664068252,8.185532529460543,9.788083125571358
Lars Stindl,9.555392556498143,7.130001255276714,10.624487249673805
Philipp Max,9.551359750723535,11.53498929665892,9.775268019448616
Timo Horn,9.527528448554753,12.480179256695953,5.51615917840637
Benjamin Hubner,9.522921194171493,9.53374926169139,9.740974955813602
Yann Sommer,9.505366511093596,12.871990616689216,3.903122656053659
David de Gea,9.394688469629797,8.723896330598608,2.2150533661562504
Kingsley Coman,9.391386633791093,9.95901211618885,9.302440892108066
Thilo Kehrer,9.35762392944631,7.9597946698347055,9.826643601702727
Alexandre Lacazette,9.334797483042808,8.102673992850875,8.758416552986835
Amine Harit,9.31390915280819,9.233904147756565,7.824763307528881
Jordan Henderson,9.203659744514736,10.122453295834985,6.896417166176706
Marcos Alonso,9.186202029439174,9.545458263206362,10.434510310501578
Wilfred Ndidi,9.175244797979031,7.417925133784432,9.841067587076438
Andrej Kramaric,9.172272276597393,8.602847948717287,8.241077696492184
Dele Alli,9.157017164653734,6.523017834826663,9.030647610464998
Henrikh Mkhitaryan,8.968887379185091,8.325527057928234,9.970612279998067
Nick Pope,8.952563510926797,10.743929939259587,7.148452738214541
Vincent Kompany,8.947081339493009,9.742025822089802,8.517520241257028
Serge Gnabry,8.943096771733622,10.270329732824122,9.727798534525272
Hugo Lloris,8.933865104758295,7.259553691866556,3.5177791605666116
Jamaal Lascelles,8.913303921713398,9.530463662304223,8.672636415551919
Christian Gentner,8.911717766282997,8.659065968043885,8.652874007803861
Thomas Delaney,8.88927479060384,5.438259871286452,8.937643847173508
Kieran Trippier,8.886059668207887,7.961846280983897,10.85844267149473
Son Heung-Min,8.885904207993548,9.299750849193273,9.074112526921814
