player,minutesPlayed_total,goals_per_min,assists_per_min,shots_ontarget_per_min,shots_offtarget_per_min,shotsblocked_per_min,chances2score_per_min,drib_success_per_min,drib_unsuccess_per_min,keypasses_per_min,touches_per_min,passes_acc_per_min,passes_inacc_per_min,crosses_acc_per_min,crosses_inacc_per_min,lballs_acc_per_min,lballs_inacc_per_min,grduels_w_per_min,grduels_l_per_min,aerials_w_per_min,aerials_l_per_min,poss_lost_per_min,fouls_per_min,wasfouled_per_min,clearances_per_min,stop_shots_per_min,interceptions_per_min,tackles_per_min,dribbled_past_per_min,tballs_acc_per_min,tballs_inacc_per_min,ycards_per_min,rcards_per_min,dangmistakes_per_min,countattack_per_min,offsides_per_min,goals_ag_otb_per_min,goals_ag_itb_per_min,saves_itb_per_min,saves_otb_per_min,saved_pen_per_min,missed_penalties_per_min,owngoals_per_min,degree_centrality_per_min,betweenness_centrality_per_min,closeness_centrality_per_min,flow_centrality_per_min,flow_success_per_min,betweenness2goals_per_min,win_per_min,lost_per_min,is_home_team_per_min,game_duration_per_min,opponent_ranking.1_per_min,primary_pos,final_rating_tuned,final_rating_human,final_rating_ai
Aaron Cresswell,2984,0.0003351206434316354,0.0023458445040214475,0.0010053619302949062,0.003686327077747989,0.001675603217158177,0.00435656836461126,0.0013404825737265416,0.002680965147453083,0.00435656836461126,0.6561662198391421,0.3515415549597855,0.08277479892761394,0.016420911528150135,0.03351206434316354,0.039544235924932974,0.0492627345844504,0.01943699731903485,0.032171581769437,0.017761394101876677,0.014745308310991957,0.15683646112600536,0.006702412868632708,0.005026809651474531,0.018096514745308313,0.005361930294906166,0.02680965147453083,0.012064343163538873,0.004691689008042895,0.0010053619302949062,0.00435656836461126,0.0023458445040214475,0.0,0.0003351206434316354,0.003351206434316354,0.0010053619302949062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013658989581434315,0.0021692977815013404,0.00786888956266756,0.004459676146112601,0.010845909027144772,0.00013826128284182305,0.0030160857908847183,0.005026809651474531,0.006032171581769437,1.0556300268096515,0.11963806970509383,df,5.2070436774898745,5.299785193363182,4.73693844978264
Aaron Hunt,2154,0.001392757660167131,0.0009285051067780873,0.002321262766945218,0.0064995357474466105,0.002785515320334262,0.01021355617455896,0.00510677808727948,0.003714020427112349,0.014391829155060354,0.6717734447539462,0.3955431754874652,0.09331476323119778,0.018570102135561744,0.027855153203342618,0.0436397400185701,0.03064066852367688,0.04410399257195915,0.03946146703806871,0.007892293407613741,0.015784586815227482,0.1606313834726091,0.012534818941504178,0.017177344475394613,0.009285051067780872,0.001392757660167131,0.02181987000928505,0.007892293407613741,0.006963788300835654,0.0032497678737233053,0.006963788300835654,0.00046425255338904364,0.0,0.001392757660167131,0.012070566388115135,0.002321262766945218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016684522533426185,0.003012619377437326,0.00935770815645311,0.004497696483286908,0.009629685633704735,6.974891272051997e-05,0.003714020427112349,0.0060352831940575676,0.0064995357474466105,1.16991643454039,0.12209842154131847,mf,6.441430102161235,3.8652450611213833,6.995183465101934
Aaron Lennon,1930,0.0,0.0010362694300518134,0.0025906735751295338,0.0051813471502590676,0.003626943005181347,0.004145077720207254,0.007772020725388601,0.0051813471502590676,0.0010362694300518134,0.3699481865284974,0.1772020725388601,0.05181347150259067,0.005699481865284974,0.015025906735751295,0.00466321243523316,0.00932642487046632,0.04145077720207254,0.05336787564766839,0.006735751295336788,0.010362694300518135,0.10932642487046632,0.010880829015544042,0.009844559585492229,0.004145077720207254,0.002072538860103627,0.02383419689119171,0.00932642487046632,0.011398963730569948,0.0010362694300518134,0.0031088082901554403,0.0010362694300518134,0.0,0.0010362694300518134,0.00932642487046632,0.0005181347150259067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012216781492227978,0.001657466641968912,0.008841128882901556,0.00284968420880829,0.008896081671502592,0.00011801957409326424,0.0051813471502590676,0.0051813471502590676,0.006735751295336788,1.305699481865285,0.16321243523316062,mf,3.1896581977302603,5.468924033772132,3.0947884028640087
Aaron Mooy,3337,0.001198681450404555,0.0008990110878034162,0.0017980221756068325,0.006592747977225052,0.00479472580161822,0.004495055439017081,0.003596044351213665,0.003895714713814804,0.0074917590650284685,0.7875337129157927,0.5151333533113575,0.10248726400958945,0.01648186994306263,0.026670662271501347,0.04465088402756967,0.037758465687743485,0.039556487863350316,0.04465088402756967,0.011387473778843273,0.010188792328438718,0.1732094695834582,0.00958945160323644,0.004195385076415942,0.017980221756068324,0.0014983518130056938,0.03356308061132754,0.014683847767455798,0.005693736889421637,0.003296373988612526,0.004195385076415942,0.001198681450404555,0.0,0.0005993407252022775,0.0092897812406353,0.0005993407252022775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01663642520617321,0.003117742856457896,0.00886485551273599,0.005374022593946658,0.008723866149235841,7.093531884926581e-05,0.00239736290080911,0.005993407252022775,0.005693736889421637,1.051842972729997,0.11926880431525322,mf,11.121221453878547,11.84061137057665,7.911273013551385
Aaron Ramsey,2206,0.003626473254759746,0.004533091568449683,0.011332728921124207,0.016772438803263828,0.008159564823209429,0.01586582048957389,0.011786038077969175,0.006346328195829556,0.007252946509519492,0.8200362647325476,0.5539437896645513,0.08748866727107887,0.008612873980054397,0.01314596554850408,0.02629193109700816,0.027651858567543066,0.05893019038984588,0.0657298277425204,0.005439709882139619,0.009519492293744334,0.1554850407978241,0.01586582048957389,0.01813236627379873,0.004079782411604714,0.001813236627379873,0.021758839528558477,0.01314596554850408,0.0058930190389845875,0.007252946509519492,0.016772438803263828,0.0009066183136899365,0.0,0.003173164097914778,0.01813236627379873,0.0013599274705349048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723577722121486,0.002447972546237534,0.009679350272892113,0.00542711165593835,0.01605986716545784,0.0003317503445149592,0.008159564823209429,0.003626473254759746,0.0058930190389845875,1.14233907524932,0.14097914777878512,mf,10.091666470963691,10.381681345944587,10.382093544476175
Abdou Diallo,2326,0.0008598452278589854,0.0,0.0012897678417884782,0.0034393809114359416,0.0004299226139294927,0.004729148753224419,0.012467755803955288,0.005159071367153913,0.0004299226139294927,0.6435941530524506,0.34995700773860705,0.08383490971625107,0.006448839208942391,0.005588993981083405,0.04557179707652623,0.04299226139294927,0.052450558899398106,0.043422184006878764,0.034393809114359415,0.018916595012897677,0.12166809974204643,0.023215821152192607,0.0034393809114359416,0.02106620808254514,0.0060189165950128975,0.027515047291487533,0.03181427343078246,0.007308684436801376,0.0021496130696474634,0.0021496130696474634,0.0021496130696474634,0.0,0.0008598452278589854,0.004299226139294927,0.0012897678417884782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013291774147893379,0.0023105211977644024,0.007204234286328461,0.0042547224165950135,0.011272844339638865,7.313054084264832e-05,0.0034393809114359416,0.004729148753224419,0.0060189165950128975,1.0060189165950129,0.09716251074806535,df,10.450298843887056,11.038218856738268,8.766267434979857
Abdoulaye Doucoure,3325,0.002105263157894737,0.0006015037593984962,0.005112781954887218,0.0081203007518797,0.0036090225563909775,0.00631578947368421,0.0069172932330827065,0.003909774436090226,0.002406015037593985,0.807218045112782,0.5678195488721804,0.08360902255639098,0.003909774436090226,0.008721804511278195,0.02526315789473684,0.018646616541353384,0.04932330827067669,0.05082706766917293,0.015639097744360904,0.015639097744360904,0.1269172932330827,0.013533834586466165,0.008721804511278195,0.010526315789473684,0.002406015037593985,0.03458646616541353,0.021052631578947368,0.009323308270676692,0.0009022556390977444,0.005413533834586466,0.0030075187969924814,0.0,0.002706766917293233,0.014736842105263158,0.0003007518796992481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017266573026165414,0.0034447055404511276,0.00875444869744361,0.0056316224321804505,0.010806846018045114,3.7162727218045115e-05,0.0033082706766917294,0.005413533834586466,0.005714285714285714,1.0015037593984963,0.11338345864661654,mf,10.496792209221043,7.554244237515501,9.129041635155662
Adam Smith,2148,0.0004655493482309125,0.0004655493482309125,0.0013966480446927375,0.004189944134078212,0.0004655493482309125,0.0037243947858473,0.00931098696461825,0.010242085661080074,0.002793296089385475,0.6582867783985102,0.3552141527001862,0.06238361266294227,0.008845437616387336,0.012104283054003724,0.019553072625698324,0.020018621973929236,0.048417132216014895,0.054003724394785846,0.008845437616387336,0.0148975791433892,0.12197392923649907,0.00931098696461825,0.0186219739292365,0.018156424581005588,0.0037243947858473,0.043761638733705775,0.019087523277467412,0.00931098696461825,0.0004655493482309125,0.004655493482309125,0.002793296089385475,0.0,0.0013966480446927375,0.0037243947858473,0.0004655493482309125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012900150749068902,0.002068278943668529,0.0079199305716946,0.0042521740116387334,0.01060697884217877,0.00010872188687150838,0.0032588454376163874,0.00558659217877095,0.006517690875232775,1.1312849162011174,0.1308193668528864,df,6.373137310897269,4.796983996038691,6.291617591023708
Adam Szalai,1441,0.004163775156141568,0.0006939625260235947,0.010409437890353921,0.0131852879944483,0.004163775156141568,0.016655100624566273,0.005551700208188758,0.004163775156141568,0.0013879250520471894,0.2782789729354615,0.11866759195003469,0.03539208882720333,0.0013879250520471894,0.002081887578070784,0.002775850104094379,0.004163775156141568,0.03539208882720333,0.049271339347675226,0.021512838306731435,0.0263705759888966,0.0936849410131853,0.01457321304649549,0.020818875780707843,0.0006939625260235947,0.002081887578070784,0.008327550312283136,0.004163775156141568,0.0013879250520471894,0.0,0.0006939625260235947,0.002081887578070784,0.0,0.0006939625260235947,0.009715475364330326,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012021820418459402,0.0017086246835530882,0.009305097809854267,0.0020623759077029844,0.010653726004163776,0.0003212580853573907,0.005551700208188758,0.004857737682165163,0.005551700208188758,1.3740458015267176,0.15058986814712005,fw,4.473364051551751,6.994770979040477,6.446496521432703
Admir Mehmedi,1456,0.0027472527472527475,0.0020604395604395605,0.004807692307692308,0.007554945054945055,0.0027472527472527475,0.006181318681318681,0.006181318681318681,0.008241758241758242,0.007554945054945055,0.6037087912087912,0.32211538461538464,0.06043956043956044,0.011675824175824176,0.017857142857142856,0.012362637362637362,0.008241758241758242,0.054945054945054944,0.038461538461538464,0.019917582417582416,0.017170329670329672,0.12156593406593406,0.019230769230769232,0.019230769230769232,0.004807692307692308,0.0,0.0260989010989011,0.013736263736263736,0.01098901098901099,0.0027472527472527475,0.006181318681318681,0.0020604395604395605,0.0,0.0013736263736263737,0.008928571428571428,0.006181318681318681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01575091575,0.0022607161263736263,0.009367071304258243,0.004011312404532967,0.010799515559065933,0.0003509374409340659,0.004120879120879121,0.004807692307692308,0.004807692307692308,1.3186813186813187,0.12980769230769232,mf,6.265795680850376,5.560639279199428,7.5156312180190685
